"TRACTCE","RPL_THEMES","avg_ntl","months_since_fire","month"
2100,0.5701,1.76490297580677,9,8
2100,0.5701,1.81293493296216,10,9
2100,0.5701,1.65496694954678,11,10
2100,0.5701,2.35926378942131,12,11
2100,0.5701,2.46379908559831,13,12
2100,0.5701,3.6097205110834,14,1
2100,0.5701,2.36596435071763,15,2
2100,0.5701,2.17640533754924,16,3
2100,0.5701,2.38628364699564,17,4
2100,0.5701,2.52160735907136,18,5
2100,0.5701,2.64189004289377,19,6
2100,0.5701,2.47775324371021,20,7
2100,0.5701,2.12769455671975,21,8
2100,0.5701,2.23277997106757,22,9
2100,0.5701,2.2966826940168,23,10
2100,0.5701,2.37205924234168,24,11
2200,0.5443,3.04165176382882,1,12
2200,0.5443,1.46178168455109,2,1
2200,0.5443,0.455155971143533,3,2
2200,0.5443,0.48429877768518,4,3
2200,0.5443,0.525848985686288,5,4
2200,0.5443,0.627834619004543,6,5
2200,0.5443,0.490927927923414,7,6
2200,0.5443,0.549029427646692,8,7
2200,0.5443,0.506740012252757,9,8
2200,0.5443,0.557732990012547,10,9
2200,0.5443,0.604030910277416,11,10
2200,0.5443,0.549102509716478,12,11
2200,0.5443,1.13951046600125,13,12
2200,0.5443,0.955295365106994,14,1
2200,0.5443,0.395937447941639,15,2
2200,0.5443,0.394982677307854,16,3
2200,0.5443,0.492912013864166,17,4
2200,0.5443,0.505422417684269,18,5
2200,0.5443,0.45433282980165,19,6
2200,0.5443,0.492175967676578,20,7
2200,0.5443,0.40126545298397,21,8
2200,0.5443,0.557550738530244,22,9
2200,0.5443,0.407997954885029,23,10
2200,0.5443,0.425799953454317,24,11
2300,0.4025,1.09113508500942,1,12
2300,0.4025,0.606492171762187,2,1
2300,0.4025,0.402621240745968,3,2
2300,0.4025,0.459384492258014,4,3
2300,0.4025,0.391422769413687,5,4
2300,0.4025,0.425116736313679,6,5
2300,0.4025,0.244316313235991,7,6
2300,0.4025,0.308944202273017,8,7
2300,0.4025,0.26205512081865,9,8
2300,0.4025,0.352929874795666,10,9
2300,0.4025,0.39885873745727,11,10
2300,0.4025,0.365760814359784,12,11
2300,0.4025,0.777403363788107,13,12
2300,0.4025,3.2155375376238,14,1
2300,0.4025,0.267762325331437,15,2
2300,0.4025,0.279922237030127,16,3
2300,0.4025,0.321543734049585,17,4
2300,0.4025,0.463843438132417,18,5
2300,0.4025,0.360688940988004,19,6
2300,0.4025,0.400469589720557,20,7
2300,0.4025,0.28233213206624,21,8
2300,0.4025,0.393102142888187,22,9
2300,0.4025,0.3065824493614,23,10
2300,0.4025,0.33930971300804,24,11
2400,0.5634,0.730063940288076,1,12
2400,0.5634,0.218414922258237,2,1
2400,0.5634,0.342044562610083,3,2
2400,0.5634,0.202621363486907,4,3
2400,0.5634,0.186487948686582,5,4
2400,0.5634,0.249311920719532,6,5
2400,0.5634,0.143258991311477,7,6
2400,0.5634,0.184237750724874,8,7
2400,0.5634,0.134882307551257,9,8
2400,0.5634,0.206392586515456,10,9
2400,0.5634,0.266940876968705,11,10
2400,0.5634,0.220840359602069,12,11
2400,0.5634,0.665926399994798,13,12
2400,0.5634,2.23115797563204,14,1
2400,0.5634,0.108938072166876,15,2
2400,0.5634,0.163439911072591,16,3
2400,0.5634,0.178188398145373,17,4
2400,0.5634,0.259806917893088,18,5
2400,0.5634,0.204126177597442,19,6
2400,0.5634,0.227250849002869,20,7
2400,0.5634,0.125830335446927,21,8
2400,0.5634,0.40698792493456,22,9
2400,0.5634,0.170185131121749,23,10
2400,0.5634,0.175838416474149,24,11
2500,0.9201,0.430321957851207,1,12
